# z    mu    error
0.0100 33.73 0.20
0.0120 34.10 0.19
0.0140 34.42 0.18
0.0170 34.78 0.17
0.0200 35.09 0.16
0.0250 35.48 0.15
0.0300 35.79 0.14
0.0350 36.05 0.13
0.0400 36.27 0.12
0.0450 36.46 0.11
0.0500 36.63 0.10
0.0550 36.78 0.10
0.0600 36.92 0.09
0.0650 37.05 0.09
0.0700 37.17 0.09
0.0750 37.28 0.08
0.0800 37.38 0.08
0.0850 37.48 0.08
0.0900 37.57 0.08
0.0950 37.66 0.07
0.1000 37.75 0.07
0.1200 38.14 0.07
0.1400 38.45 0.06
0.1600 38.72 0.06
0.1800 38.95 0.06
0.2000 39.15 0.06
0.2500 39.65 0.05
0.3000 40.06 0.05
0.3500 40.41 0.05
0.4000 40.72 0.05
0.4500 41.00 0.05
0.5000 41.25 0.05
0.6000 41.70 0.05
0.7000 42.09 0.05
0.8000 42.44 0.05
0.9000 42.76 0.05
1.0000 43.06 0.05
1.1000 43.34 0.05
1.2000 43.60 0.05
1.3000 43.85 0.06
1.4000 44.08 0.06
