# rank	total_error	dl	db	l	b	Q	fluct	run	folder
1	29.2	26.9	2.3	176.9	-7.3	0.0102	0.007	0	Q0.0102_fluct0.007_0
2	31.6	3.0	28.7	147.0	23.7	0.0105	0.008	2	Q0.0105_fluct0.008_2
3	34.0	16.1	17.9	166.1	12.9	0.0103	0.008	1	Q0.0103_fluct0.008_1
4	34.7	25.9	8.8	175.9	-13.8	0.0107	0.004	1	Q0.0107_fluct0.004_1
5	35.5	9.6	25.9	159.6	20.9	0.0106	0.004	2	Q0.0106_fluct0.004_2
6	39.9	17.7	22.2	132.3	17.2	0.0102	0.008	1	Q0.0102_fluct0.008_1
7	45.3	35.5	9.8	185.5	-14.8	0.0107	0.005	3	Q0.0107_fluct0.005_3
8	46.6	42.9	3.7	192.9	-8.7	0.0104	0.008	2	Q0.0104_fluct0.008_2
9	47.9	28.1	19.8	178.1	14.8	0.0102	0.004	2	Q0.0102_fluct0.004_2
10	48.9	33.9	15.0	183.9	10.0	0.0104	0.005	1	Q0.0104_fluct0.005_1
