# time scale_factor
0.000000 14160378192556846.000000
0.020000 14344568113311598.000000
0.040000 14577808310415192.000000
0.060000 14856695801447420.000000
0.080000 15177940443805294.000000
0.100000 15538360300490104.000000
0.120000 15934877293906628.000000
0.140000 16364513132209838.000000
0.160000 16824385493452402.000000
0.180000 17311704453469500.000000
0.200000 17823769144087712.000000
0.220000 18357964628863696.000000
0.240000 18911758984147576.000000
0.260000 19482700573827236.000000
0.280000 20068415506643996.000000
0.300000 20666605265479500.000000
0.320000 21275044498498636.000000
0.340000 21891578962495932.000000
0.360000 22514123609233560.000000
0.380000 23140660805979636.000000
0.400000 23769238681856532.000000
0.420000 24397969591991532.000000
0.440000 25025028691827504.000000
0.460000 25648652614299960.000000
0.480000 26267138242920012.000000
0.500000 26878841574120952.000000
0.520000 27482176662530380.000000
0.540000 28075614643120760.000000
0.560000 28657682824469328.000000
0.580000 29226963847624668.000000
0.600000 29782094905332064.000000
0.620000 30321767016613828.000000
0.640000 30844724351934688.000000
0.660000 31349763604406540.000000
0.680000 31835733402701764.000000
0.700000 32301533761550680.000000
0.720000 32746115565896612.000000
0.740000 33168480084972292.000000
0.760000 33567678512743860.000000
0.780000 33942811531344500.000000
0.800000 34293028894288524.000000
0.820000 34617529026419252.000000
0.840000 34915558637700500.000000
0.860000 35186412348112140.000000
0.880000 35429432321055360.000000
0.900000 35644007902813228.000000
0.920000 35829575265747200.000000
0.940000 35985617053040404.000000
0.960000 36111662022924288.000000
0.980000 36207284690446784.000000
1.000000 36272104964957296.000000
1.020000 36305787781597392.000000
1.040000 36308042725195704.000000
1.060000 36278623645071640.000000
1.080000 36217328259355184.000000
1.100000 36123997747529416.000000
1.120000 35998516329998664.000000
1.140000 35840810833578328.000000
1.160000 35650850241892816.000000
1.180000 35428645229755380.000000
1.200000 35174247680688668.000000
1.220000 34887750186826720.000000
1.240000 34569285530519128.000000
1.260000 34219026147035140.000000
1.280000 33837183567840528.000000
1.300000 33424007843992672.000000
1.320000 32979786949269688.000000
1.340000 32504846162717856.000000
1.360000 31999547430367704.000000
1.380000 31464288705933368.000000
1.400000 30899503270371972.000000
1.420000 30305659030240128.000000
1.440000 29683257794842976.000000
1.460000 29032834532227664.000000
1.480000 28354956604127980.000000
1.500000 27650222980019624.000000
1.520000 26919263430496932.000000
1.540000 26162737700231148.000000
1.560000 25381334660818160.000000
1.580000 24575771443869736.000000
1.600000 23746792554746552.000000
1.620000 22895168967374276.000000
1.640000 22021697200625000.000000
1.660000 21127198376785952.000000
1.680000 20212517262675428.000000
1.700000 19278521294002276.000000
1.720000 18326099583600160.000000
1.740000 17463427294639066.000000
1.760000 16708972031952722.000000
1.780000 16057204228125346.000000
1.800000 15502805829416218.000000
1.820000 15040659903756728.000000
1.840000 14665840833128584.000000
1.860000 14373605060855660.000000
1.880000 14159382365750810.000000
1.900000 14018767636397694.000000
1.920000 13947513120119790.000000
1.940000 13941521122397796.000000
1.960000 13996837133645632.000000
1.980000 14109643361347438.000000
2.000000 14276252646596132.000000
2.020000 14493102745061052.000000
2.040000 14756750953350594.000000
2.060000 15063869062627986.000000
2.080000 15411238622186888.000000
2.100000 15795746496500534.000000
2.120000 16214380700025764.000000
2.140000 16664226494773650.000000
2.160000 17142462736353308.000000
2.180000 17646358454856832.000000
2.200000 18173269657582708.000000
2.220000 18720636341194348.000000
2.240000 19285979701480976.000000
2.260000 19866899529431496.000000
2.280000 20461071782849684.000000
2.300000 21066246323232272.000000
2.320000 21680244808101512.000000
2.340000 22300958729432044.000000
2.360000 22926347589239064.000000
2.380000 23554437203802468.000000
2.400000 24183318128390416.000000
2.420000 24811144194716904.000000
2.440000 25436131153722252.000000
2.460000 26056555416603780.000000
2.480000 26670752887347108.000000
2.500000 27277117880317576.000000
2.520000 27874102116766488.000000
2.540000 28460213794389460.000000
2.560000 29034016724344324.000000
2.580000 29594129530394816.000000
2.600000 30139224905093876.000000
2.620000 30668028918157868.000000
2.640000 31179320372410220.000000
2.660000 31671930202891360.000000
2.680000 32144740914940744.000000
2.700000 32596686057257760.000000
2.720000 33026749726140972.000000
2.740000 33433966097290316.000000
2.760000 33817418981735036.000000
2.780000 34176241402621052.000000
2.800000 34509615189756320.000000
2.820000 34816770588971120.000000
2.840000 35096985883502768.000000
2.860000 35349587024761440.000000
2.880000 35573947269975356.000000
2.900000 35769486824350300.000000
2.920000 35935672485510344.000000
2.940000 36072017288113856.000000
2.960000 36178080146661784.000000
2.980000 36253465494633952.000000
3.000000 36297822918203848.000000
3.020000 36310846782893280.000000
3.040000 36292275851635680.000000
3.060000 36241892892820504.000000
3.080000 36159524276991864.000000
3.100000 36045039560971616.000000
3.120000 35898351058271520.000000
3.140000 35719413394750220.000000
3.160000 35508223048559380.000000
3.180000 35264817873508932.000000
3.200000 34989276605064480.000000
3.220000 34681718348270492.000000
3.240000 34342302046970980.000000
3.260000 33971225933775112.000000
3.280000 33568726960288556.000000
3.300000 33135080207202640.000000
3.320000 32670598273902404.000000
3.340000 32175630647321508.000000
3.360000 31650563049836864.000000
3.380000 31095816766058780.000000
3.400000 30511847948433216.000000
3.420000 29899146901631868.000000
3.440000 29258237345762904.000000
3.460000 28589675658490492.000000
3.480000 27894050096204792.000000
3.500000 27171979994435828.000000
3.520000 26424114947754720.000000
3.540000 25651133969454036.000000
3.560000 24853744631345668.000000
3.580000 24032682184059636.000000
3.600000 23188708658270540.000000
3.620000 22322611947320120.000000
3.640000 21435204871744480.000000
3.660000 20527324226253092.000000
3.680000 19599829809743644.000000
3.700000 18653603438972236.000000
3.720000 17752298587514994.000000
3.740000 16961168043517268.000000
3.760000 16274606607220706.000000
3.780000 15687224326274370.000000
3.800000 15193835894861334.000000
3.820000 14789450647720032.000000
3.840000 14469263119089276.000000
3.860000 14228644138039784.000000
3.880000 14063132433017586.000000
3.900000 13968426719719440.000000
3.920000 13940378247650788.000000
3.940000 13974983781886240.000000
3.960000 14068378997663972.000000
3.980000 14216832266501996.000000
4.000000 14416738813528580.000000
4.020000 14664615226673942.000000
4.040000 14957094299278322.000000
4.060000 15290920188534832.000000
4.080000 15662943873006644.000000
4.100000 16070118893239094.000000
4.120000 16509497360230266.000000
4.140000 16978226217230572.000000
4.160000 17473543741014544.000000
4.180000 17992776269408354.000000
4.200000 18533335142466064.000000
4.220000 19092713845267952.000000
4.240000 19668485340866880.000000
4.260000 20258299582435140.000000
4.280000 20859881194165652.000000
4.300000 21471027310959448.000000
4.320000 22089605567386868.000000
4.340000 22713552226844248.000000
4.360000 23340870442242268.000000
4.380000 23969628639957152.000000
4.400000 24597959019153232.000000
4.420000 25224056158945252.000000
4.440000 25846175726212668.000000
4.460000 26462633277206496.000000
4.480000 27071803146403112.000000
4.500000 27672117416359316.000000
4.520000 28262064962609852.000000
4.540000 28840190567922940.000000
4.560000 29405094100492004.000000
4.580000 29955429750893284.000000
4.600000 30489905322879740.000000
4.620000 31007281573312584.000000
4.640000 31506371596752916.000000
4.660000 31986040250448256.000000
4.680000 32445203615652324.000000
4.700000 32882828491411960.000000
4.720000 33297931917142836.000000
4.740000 33689580720496092.000000
4.760000 34056891087191396.000000
4.780000 34399028149658932.000000
4.800000 34715205591493256.000000
4.820000 35004685264876716.000000
4.840000 35266776818278892.000000
4.860000 35500837331882200.000000
4.880000 35706270958322072.000000
4.900000 35882528566463648.000000
4.920000 36029107386065776.000000
4.940000 36145550651307512.000000
4.960000 36231447241272328.000000
4.980000 36286431315601536.000000
