# time scale_factor
0.000000 1.000163
0.020000 1.000325
0.040000 1.000488
0.060000 1.000650
0.080000 1.000813
0.100000 1.000975
0.120000 1.001138
0.140000 1.001300
0.160000 1.001463
0.180000 1.001625
0.200000 1.001788
0.220000 1.001950
0.240000 1.002113
0.260000 1.002275
0.280000 1.002438
0.300000 1.002600
0.320000 1.002763
0.340000 1.002925
0.360000 1.003088
0.380000 1.003250
0.400000 1.003413
0.420000 1.003575
0.440000 1.003738
0.460000 1.003900
0.480000 1.004063
0.500000 1.004225
0.520000 1.004388
0.540000 1.004550
0.560000 1.004713
0.580000 1.004875
0.600000 1.005038
0.620000 1.005200
0.640000 1.005363
0.660000 1.005525
0.680000 1.005688
0.700000 1.005850
0.720000 1.006013
0.740000 1.006175
0.760000 1.006338
0.780000 1.006500
0.800000 1.006663
0.820000 1.006825
0.840000 1.006988
0.860000 1.007150
0.880000 1.007313
0.900000 1.007475
0.920000 1.007638
0.940000 1.007800
0.960000 1.007963
0.980000 1.008125
1.000000 1.008288
1.020000 1.008450
1.040000 1.008613
1.060000 1.008775
1.080000 1.008938
1.100000 1.009100
1.120000 1.009263
1.140000 1.009425
1.160000 1.009588
1.180000 1.009750
1.200000 1.009913
1.220000 1.010075
1.240000 1.010238
1.260000 1.010400
1.280000 1.010563
1.300000 1.010725
1.320000 1.010888
1.340000 1.011051
1.360000 1.011213
1.380000 1.011376
1.400000 1.011538
1.420000 1.011701
1.440000 1.011863
1.460000 1.012026
1.480000 1.012188
1.500000 1.012351
1.520000 1.012513
1.540000 1.012676
1.560000 1.012838
1.580000 1.013001
1.600000 1.013163
1.620000 1.013326
1.640000 1.013488
1.660000 1.013651
1.680000 1.013813
1.700000 1.013976
1.720000 1.014138
1.740000 1.014301
1.760000 1.014463
1.780000 1.014626
1.800000 1.014788
1.820000 1.014951
1.840000 1.015113
1.860000 1.015276
1.880000 1.015438
1.900000 1.015601
1.920000 1.015763
1.940000 1.015926
1.960000 1.016088
1.980000 1.016251
2.000000 1.016413
2.020000 1.016576
2.040000 1.016738
2.060000 1.016901
2.080000 1.017063
2.100000 1.017226
2.120000 1.017388
2.140000 1.017551
2.160000 1.017713
2.180000 1.017876
2.200000 1.018038
2.220000 1.018201
2.240000 1.018363
2.260000 1.018526
2.280000 1.018688
2.300000 1.018851
2.320000 1.019013
2.340000 1.019176
2.360000 1.019338
2.380000 1.019501
2.400000 1.019663
2.420000 1.019826
2.440000 1.019988
2.460000 1.020151
2.480000 1.020313
2.500000 1.020476
2.520000 1.020638
2.540000 1.020801
2.560000 1.020963
2.580000 1.021126
2.600000 1.021288
2.620000 1.021451
2.640000 1.021613
2.660000 1.021776
2.680000 1.021938
2.700000 1.022101
2.720000 1.022264
2.740000 1.022426
2.760000 1.022589
2.780000 1.022751
2.800000 1.022914
2.820000 1.023076
2.840000 1.023239
2.860000 1.023401
2.880000 1.023564
2.900000 1.023726
2.920000 1.023889
2.940000 1.024051
2.960000 1.024214
2.980000 1.024376
3.000000 1.024539
3.020000 1.024701
3.040000 1.024864
3.060000 1.025026
3.080000 1.025189
3.100000 1.025351
3.120000 1.025514
3.140000 1.025676
3.160000 1.025839
3.180000 1.026001
3.200000 1.026164
3.220000 1.026326
3.240000 1.026489
3.260000 1.026651
3.280000 1.026814
3.300000 1.026976
3.320000 1.027139
3.340000 1.027301
3.360000 1.027464
3.380000 1.027626
3.400000 1.027789
3.420000 1.027951
3.440000 1.028114
3.460000 1.028276
3.480000 1.028439
3.500000 1.028601
3.520000 1.028764
3.540000 1.028926
3.560000 1.029089
3.580000 1.029251
3.600000 1.029414
3.620000 1.029576
3.640000 1.029739
3.660000 1.029901
3.680000 1.030064
3.700000 1.030226
3.720000 1.030389
3.740000 1.030551
3.760000 1.030714
3.780000 1.030876
3.800000 1.031039
3.820000 1.031201
3.840000 1.031364
3.860000 1.031526
3.880000 1.031689
3.900000 1.031851
3.920000 1.032014
3.940000 1.032176
3.960000 1.032339
3.980000 1.032501
4.000000 1.032664
4.020000 1.032826
4.040000 1.032989
4.060000 1.033152
4.080000 1.033314
4.100000 1.033477
4.120000 1.033639
4.140000 1.033802
4.160000 1.033964
4.180000 1.034127
4.200000 1.034289
4.220000 1.034452
4.240000 1.034614
4.260000 1.034777
4.280000 1.034939
4.300000 1.035102
4.320000 1.035264
4.340000 1.035427
4.360000 1.035589
4.380000 1.035752
4.400000 1.035914
4.420000 1.036077
4.440000 1.036239
4.460000 1.036402
4.480000 1.036564
4.500000 1.036727
4.520000 1.036889
4.540000 1.037052
4.560000 1.037214
4.580000 1.037377
4.600000 1.037539
4.620000 1.037702
4.640000 1.037864
4.660000 1.038027
