# time scale_factor entropy
0.000000 0.951000 0.000118
0.020000 0.904450 22024397862040256.000000
0.040000 65132308103800.851562 44026771326218472.000000
0.060000 192075176598106.968750 43960720157030216.000000
0.080000 377607877979494.500000 43850708267684928.000000
0.100000 618605784143398.000000 43696845670071952.000000
0.120000 912035756550628.875000 43499286226788904.000000
0.140000 1254951831627406.250000 43258227497279072.000000
0.160000 1644491186377348.500000 42973910540271952.000000
0.180000 2077870369870466.000000 42646619672724576.000000
0.200000 2552381786926788.000000 42276682185504464.000000
0.220000 3065390420932605.000000 41864468016098840.000000
0.240000 3614330783317089.500000 41410389378677136.000000
0.260000 4196704077777877.000000 40914900351876744.000000
0.280000 4810075567877526.000000 40378496424724472.000000
0.300000 5452072137140104.000000 39801714001147480.000000
0.320000 6120380031259810.000000 39185129863569344.000000
0.340000 6812742772492809.000000 38529360596127640.000000
0.360000 7526959236740641.000000 37835061968089792.000000
0.380000 8260881884249693.000000 37102928278083872.000000
0.400000 9012415135247556.000000 36333691659799864.000000
0.420000 9779513882214580.000000 35528121349856048.000000
0.440000 10560182130848576.000000 34687022918562384.000000
0.460000 11352471762123452.000000 33811237464350156.000000
0.480000 12154481408169348.000000 32901640772673576.000000
0.500000 12964355435013560.000000 31959142440224324.000000
0.520000 13780283025518920.000000 30984684965334852.000000
0.540000 14600497356140114.000000 29979242805480040.000000
0.560000 15423274861389454.000000 28943821402819744.000000
0.580000 16246934580162474.000000 27879456178756640.000000
0.600000 17069837578321150.000000 26787211498514768.000000
0.620000 17890386442169030.000000 25668179606774384.000000
0.640000 18707024837678892.000000 24523479535427224.000000
0.660000 19518237130550016.000000 23354255984544644.000000
0.680000 20322548062379588.000000 22161678177677516.000000
0.700000 21118522478431324.000000 20946938692632708.000000
0.720000 21904765102674948.000000 19711252268895272.000000
0.740000 22679920355952700.000000 18455854592888936.000000
0.760000 23442672213304460.000000 17182001062289716.000000
0.780000 24191744096651380.000000 15890965530628198.000000
0.800000 24925898799199688.000000 14584039033436058.000000
0.820000 25643938438081940.000000 13262528497210480.000000
0.840000 26344704431902588.000000 11927755432487696.000000
0.860000 27027077499998992.000000 10581054612332416.000000
0.880000 27689977680367672.000000 9223772737564810.000000
0.900000 28332364363339648.000000 7857267090059636.000000
0.920000 28953236338217760.000000 6482904175464404.000000
0.940000 29551631850213664.000000 5102058356693708.000000
0.960000 30126628665142556.000000 3716110479566318.000000
0.980000 30677344139450348.000000 2326446491959360.500000
1.000000 31202935293260532.000000 934456057860444.750000
1.020000 31702598884237204.000000 458468832296331.937500
1.040000 32175571480166404.000000 1850935253620812.500000
1.060000 32621129528260360.000000 3241550739691671.000000
1.080000 33038589419288732.000000 4628924675022840.000000
